success,timeout,failed_images,failed_audio,failed_video,trial_type,trial_index,time_elapsed,internal_node_id,run_id,condition,recorded_at,source_code_version,user_agent,device,browser,browser_version,platform,platform_version,rt,response,task,correct_response,correct,pred_class,pred_concept,question_order
,,,,,html-keyboard-response,14,183530,0.0-4.0-0.5,1,1,2023-03-14 13:34:48,27d22b55943edf8b2830e96048e50989,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/16.1 Safari/605.1.15",Macintosh,Safari,16.1,OS X,10_15_7,null,null,fixation,,,,,
,,,,,image-button-response,15,187996,0.0-4.0-1.5,1,1,2023-03-14 13:34:48,27d22b55943edf8b2830e96048e50989,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/16.1 Safari/605.1.15",Macintosh,Safari,16.1,OS X,10_15_7,4456,5,response_1,Bombus pratorum,TRUE,,,
,,,,,html-button-response,16,192844,0.0-5.0,1,1,2023-03-14 13:34:48,27d22b55943edf8b2830e96048e50989,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/16.1 Safari/605.1.15",Macintosh,Safari,16.1,OS X,10_15_7,4845,0,,,,,,
,,,,,html-keyboard-response,17,193347,0.0-6.0-0.0,1,1,2023-03-14 13:34:48,27d22b55943edf8b2830e96048e50989,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/16.1 Safari/605.1.15",Macintosh,Safari,16.1,OS X,10_15_7,null,null,fixation,,,,,
,,,,,image-button-response,18,203627,0.0-6.0-1.0,1,1,2023-03-14 13:34:48,27d22b55943edf8b2830e96048e50989,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/16.1 Safari/605.1.15",Macintosh,Safari,16.1,OS X,10_15_7,10269,2,response_pred,Andrena fulva,TRUE,Andrena fulva,it is fuzzy dark orange and it has a smooth shiny dark brown texture,
,,,,,html-keyboard-response,19,203881,0.0-6.0-0.1,1,1,2023-03-14 13:34:48,27d22b55943edf8b2830e96048e50989,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/16.1 Safari/605.1.15",Macintosh,Safari,16.1,OS X,10_15_7,null,null,fixation,,,,,
,,,,,image-button-response,20,232277,0.0-6.0-1.1,1,1,2023-03-14 13:34:48,27d22b55943edf8b2830e96048e50989,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/16.1 Safari/605.1.15",Macintosh,Safari,16.1,OS X,10_15_7,28386,0,response_pred,Andrena bicolor,TRUE,Andrena bicolor,it is fuzzy dark orange and it has a smooth shiny dark brown texture,
,,,,,html-keyboard-response,21,232780,0.0-6.0-0.2,1,1,2023-03-14 13:34:48,27d22b55943edf8b2830e96048e50989,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/16.1 Safari/605.1.15",Macintosh,Safari,16.1,OS X,10_15_7,null,null,fixation,,,,,
,,,,,image-button-response,22,240011,0.0-6.0-1.2,1,1,2023-03-14 13:34:48,27d22b55943edf8b2830e96048e50989,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/16.1 Safari/605.1.15",Macintosh,Safari,16.1,OS X,10_15_7,7215,1,response_pred,Andrena flavipes,TRUE,Andrena flavipes,it has a smooth shiny dark brown texture,
,,,,,html-keyboard-response,23,240514,0.0-6.0-0.3,1,1,2023-03-14 13:34:48,27d22b55943edf8b2830e96048e50989,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/16.1 Safari/605.1.15",Macintosh,Safari,16.1,OS X,10_15_7,null,null,fixation,,,,,
,,,,,image-button-response,24,250894,0.0-6.0-1.3,1,1,2023-03-14 13:34:48,27d22b55943edf8b2830e96048e50989,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/16.1 Safari/605.1.15",Macintosh,Safari,16.1,OS X,10_15_7,10370,4,response_pred,Bombus lucorum,TRUE,Bombus hortorum,it has fuzzy yellow and black stripes,
,,,,,html-keyboard-response,25,251147,0.0-6.0-0.4,1,1,2023-03-14 13:34:48,27d22b55943edf8b2830e96048e50989,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/16.1 Safari/605.1.15",Macintosh,Safari,16.1,OS X,10_15_7,null,null,fixation,,,,,
,,,,,image-button-response,26,271711,0.0-6.0-1.4,1,1,2023-03-14 13:34:48,27d22b55943edf8b2830e96048e50989,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/16.1 Safari/605.1.15",Macintosh,Safari,16.1,OS X,10_15_7,20551,3,response_pred,Bombus hortorum,TRUE,Bombus pratorum,it has fuzzy yellow and black stripes,
,,,,,html-keyboard-response,27,272214,0.0-6.0-0.5,1,1,2023-03-14 13:34:48,27d22b55943edf8b2830e96048e50989,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/16.1 Safari/605.1.15",Macintosh,Safari,16.1,OS X,10_15_7,null,null,fixation,,,,,
,,,,,image-button-response,28,279311,0.0-6.0-1.5,1,1,2023-03-14 13:34:48,27d22b55943edf8b2830e96048e50989,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/16.1 Safari/605.1.15",Macintosh,Safari,16.1,OS X,10_15_7,7086,5,response_pred,Bombus pratorum,TRUE,Bombus lucorum,it has fuzzy yellow and black stripes,
,,,,,html-button-response,29,282360,0.0-7.0,1,1,2023-03-14 13:34:48,27d22b55943edf8b2830e96048e50989,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/16.1 Safari/605.1.15",Macintosh,Safari,16.1,OS X,10_15_7,3046,0,,,,,,
,,,,,html-keyboard-response,30,282863,0.0-8.0-0.0,1,1,2023-03-14 13:34:48,27d22b55943edf8b2830e96048e50989,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/16.1 Safari/605.1.15",Macintosh,Safari,16.1,OS X,10_15_7,null,null,fixation,,,,,
,,,,,image-button-response,31,310177,0.0-8.0-1.0,1,1,2023-03-14 13:34:48,27d22b55943edf8b2830e96048e50989,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/16.1 Safari/605.1.15",Macintosh,Safari,16.1,OS X,10_15_7,27301,1,response_2,Andrena flavipes,TRUE,,,
,,,,,html-keyboard-response,32,310429,0.0-8.0-0.1,1,1,2023-03-14 13:34:48,27d22b55943edf8b2830e96048e50989,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/16.1 Safari/605.1.15",Macintosh,Safari,16.1,OS X,10_15_7,null,null,fixation,,,,,
,,,,,image-button-response,33,315345,0.0-8.0-1.1,1,1,2023-03-14 13:34:48,27d22b55943edf8b2830e96048e50989,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/16.1 Safari/605.1.15",Macintosh,Safari,16.1,OS X,10_15_7,4905,3,response_2,Bombus hortorum,TRUE,,,
,,,,,html-keyboard-response,34,316100,0.0-8.0-0.2,1,1,2023-03-14 13:34:48,27d22b55943edf8b2830e96048e50989,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/16.1 Safari/605.1.15",Macintosh,Safari,16.1,OS X,10_15_7,null,null,fixation,,,,,
,,,,,image-button-response,35,327778,0.0-8.0-1.2,1,1,2023-03-14 13:34:48,27d22b55943edf8b2830e96048e50989,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/16.1 Safari/605.1.15",Macintosh,Safari,16.1,OS X,10_15_7,11669,0,response_2,Andrena bicolor,TRUE,,,
,,,,,html-keyboard-response,36,328031,0.0-8.0-0.3,1,1,2023-03-14 13:34:48,27d22b55943edf8b2830e96048e50989,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/16.1 Safari/605.1.15",Macintosh,Safari,16.1,OS X,10_15_7,null,null,fixation,,,,,
,,,,,image-button-response,37,336512,0.0-8.0-1.3,1,1,2023-03-14 13:34:48,27d22b55943edf8b2830e96048e50989,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/16.1 Safari/605.1.15",Macintosh,Safari,16.1,OS X,10_15_7,8469,5,response_2,Andrena fulva,FALSE,,,
,,,,,html-keyboard-response,38,337014,0.0-8.0-0.4,1,1,2023-03-14 13:34:48,27d22b55943edf8b2830e96048e50989,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/16.1 Safari/605.1.15",Macintosh,Safari,16.1,OS X,10_15_7,null,null,fixation,,,,,
,,,,,image-button-response,39,343594,0.0-8.0-1.4,1,1,2023-03-14 13:34:48,27d22b55943edf8b2830e96048e50989,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/16.1 Safari/605.1.15",Macintosh,Safari,16.1,OS X,10_15_7,6571,3,response_2,Bombus hortorum,TRUE,,,
,,,,,html-keyboard-response,40,344097,0.0-8.0-0.5,1,1,2023-03-14 13:34:48,27d22b55943edf8b2830e96048e50989,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/16.1 Safari/605.1.15",Macintosh,Safari,16.1,OS X,10_15_7,null,null,fixation,,,,,
,,,,,image-button-response,41,350794,0.0-8.0-1.5,1,1,2023-03-14 13:34:48,27d22b55943edf8b2830e96048e50989,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/16.1 Safari/605.1.15",Macintosh,Safari,16.1,OS X,10_15_7,6686,2,response_2,Andrena fulva,TRUE,,,
,,,,,html-button-response,42,352260,0.0-9.0,1,1,2023-03-14 13:34:48,27d22b55943edf8b2830e96048e50989,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/16.1 Safari/605.1.15",Macintosh,Safari,16.1,OS X,10_15_7,1463,0,,,,,,
,,,,,survey-multi-choice,43,383484,0.0-10.0,1,1,2023-03-14 13:34:48,27d22b55943edf8b2830e96048e50989,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/16.1 Safari/605.1.15",Macintosh,Safari,16.1,OS X,10_15_7,31219,"{""support_exp"":""strongly agree"",""causal_exp"":""strongly agree"",""know_exp"":""strongly agree"",""understand_exp"":""strongly agree""}",,,,,,"[0,1,2,3]"
,,,,,html-button-response,44,384728,0.0-11.0,1,1,2023-03-14 13:34:48,27d22b55943edf8b2830e96048e50989,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/16.1 Safari/605.1.15",Macintosh,Safari,16.1,OS X,10_15_7,1241,0,,,,,,
TRUE,FALSE,[],[],[],preload,0,329,0.0-0.0,10,1,2023-03-14 19:11:28,27d22b55943edf8b2830e96048e50989,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/16.3 Safari/605.1.15",Macintosh,Safari,16.3,OS X,10_15_7,,,,,,,,
,,,,,html-button-response,1,1268,0.0-1.0,10,1,2023-03-14 19:11:28,27d22b55943edf8b2830e96048e50989,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/16.3 Safari/605.1.15",Macintosh,Safari,16.3,OS X,10_15_7,937,0,,,,,,
,,,,,html-button-response,2,2522,0.0-2.0,10,1,2023-03-14 19:11:28,27d22b55943edf8b2830e96048e50989,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/16.3 Safari/605.1.15",Macintosh,Safari,16.3,OS X,10_15_7,1253,0,,,,,,
,,,,,html-button-response,3,140636,0.0-3.0,10,1,2023-03-14 19:11:28,27d22b55943edf8b2830e96048e50989,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/16.3 Safari/605.1.15",Macintosh,Safari,16.3,OS X,10_15_7,138114,0,,,,,,
,,,,,html-keyboard-response,4,142143,0.0-4.0-0.0,10,1,2023-03-14 19:11:28,27d22b55943edf8b2830e96048e50989,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/16.3 Safari/605.1.15",Macintosh,Safari,16.3,OS X,10_15_7,null,null,fixation,,,,,
,,,,,image-button-response,5,186286,0.0-4.0-1.0,10,1,2023-03-14 19:11:28,27d22b55943edf8b2830e96048e50989,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/16.3 Safari/605.1.15",Macintosh,Safari,16.3,OS X,10_15_7,44126,2,response_1,Bombus lucorum,FALSE,,,
,,,,,html-keyboard-response,6,187039,0.0-4.0-0.1,10,1,2023-03-14 19:11:28,27d22b55943edf8b2830e96048e50989,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/16.3 Safari/605.1.15",Macintosh,Safari,16.3,OS X,10_15_7,null,null,fixation,,,,,
,,,,,image-button-response,7,204269,0.0-4.0-1.1,10,1,2023-03-14 19:11:28,27d22b55943edf8b2830e96048e50989,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/16.3 Safari/605.1.15",Macintosh,Safari,16.3,OS X,10_15_7,17214,2,response_1,Andrena fulva,TRUE,,,
,,,,,html-keyboard-response,8,205022,0.0-4.0-0.2,10,1,2023-03-14 19:11:28,27d22b55943edf8b2830e96048e50989,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/16.3 Safari/605.1.15",Macintosh,Safari,16.3,OS X,10_15_7,null,null,fixation,,,,,
,,,,,image-button-response,9,214684,0.0-4.0-1.2,10,1,2023-03-14 19:11:28,27d22b55943edf8b2830e96048e50989,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/16.3 Safari/605.1.15",Macintosh,Safari,16.3,OS X,10_15_7,9644,3,response_1,Andrena fulva,FALSE,,,
,,,,,html-keyboard-response,10,215188,0.0-4.0-0.3,10,1,2023-03-14 19:11:28,27d22b55943edf8b2830e96048e50989,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/16.3 Safari/605.1.15",Macintosh,Safari,16.3,OS X,10_15_7,null,null,fixation,,,,,
,,,,,image-button-response,11,226369,0.0-4.0-1.3,10,1,2023-03-14 19:11:28,27d22b55943edf8b2830e96048e50989,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/16.3 Safari/605.1.15",Macintosh,Safari,16.3,OS X,10_15_7,11168,1,response_1,Andrena flavipes,TRUE,,,
,,,,,html-keyboard-response,12,226622,0.0-4.0-0.4,10,1,2023-03-14 19:11:28,27d22b55943edf8b2830e96048e50989,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/16.3 Safari/605.1.15",Macintosh,Safari,16.3,OS X,10_15_7,null,null,fixation,,,,,
,,,,,image-button-response,13,266102,0.0-4.0-1.4,10,1,2023-03-14 19:11:28,27d22b55943edf8b2830e96048e50989,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/16.3 Safari/605.1.15",Macintosh,Safari,16.3,OS X,10_15_7,39465,1,response_1,Andrena flavipes,TRUE,,,
,,,,,html-keyboard-response,14,266606,0.0-4.0-0.5,10,1,2023-03-14 19:11:28,27d22b55943edf8b2830e96048e50989,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/16.3 Safari/605.1.15",Macintosh,Safari,16.3,OS X,10_15_7,null,null,fixation,,,,,
,,,,,image-button-response,15,279884,0.0-4.0-1.5,10,1,2023-03-14 19:11:28,27d22b55943edf8b2830e96048e50989,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/16.3 Safari/605.1.15",Macintosh,Safari,16.3,OS X,10_15_7,13260,4,response_1,Bombus pratorum,FALSE,,,
,,,,,html-button-response,16,288602,0.0-5.0,10,1,2023-03-14 19:11:28,27d22b55943edf8b2830e96048e50989,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/16.3 Safari/605.1.15",Macintosh,Safari,16.3,OS X,10_15_7,8714,0,,,,,,
,,,,,html-keyboard-response,17,289357,0.0-6.0-0.0,10,1,2023-03-14 19:11:28,27d22b55943edf8b2830e96048e50989,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/16.3 Safari/605.1.15",Macintosh,Safari,16.3,OS X,10_15_7,null,null,fixation,,,,,
,,,,,image-button-response,18,315734,0.0-6.0-1.0,10,1,2023-03-14 19:11:28,27d22b55943edf8b2830e96048e50989,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/16.3 Safari/605.1.15",Macintosh,Safari,16.3,OS X,10_15_7,26357,5,response_pred,Bombus hortorum,FALSE,Bombus pratorum,it has fuzzy yellow and black stripes,
,,,,,html-keyboard-response,19,315989,0.0-6.0-0.1,10,1,2023-03-14 19:11:28,27d22b55943edf8b2830e96048e50989,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/16.3 Safari/605.1.15",Macintosh,Safari,16.3,OS X,10_15_7,null,null,fixation,,,,,
,,,,,image-button-response,20,339368,0.0-6.0-1.1,10,1,2023-03-14 19:11:28,27d22b55943edf8b2830e96048e50989,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/16.3 Safari/605.1.15",Macintosh,Safari,16.3,OS X,10_15_7,23351,3,response_pred,Andrena flavipes,FALSE,Andrena flavipes,it has a smooth shiny dark brown texture,
,,,,,html-keyboard-response,21,339873,0.0-6.0-0.2,10,1,2023-03-14 19:11:28,27d22b55943edf8b2830e96048e50989,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/16.3 Safari/605.1.15",Macintosh,Safari,16.3,OS X,10_15_7,null,null,fixation,,,,,
,,,,,image-button-response,22,349684,0.0-6.0-1.2,10,1,2023-03-14 19:11:28,27d22b55943edf8b2830e96048e50989,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/16.3 Safari/605.1.15",Macintosh,Safari,16.3,OS X,10_15_7,9800,5,response_pred,Bombus pratorum,TRUE,Bombus lucorum,it has fuzzy yellow and black stripes,
,,,,,html-keyboard-response,23,350188,0.0-6.0-0.3,10,1,2023-03-14 19:11:28,27d22b55943edf8b2830e96048e50989,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/16.3 Safari/605.1.15",Macintosh,Safari,16.3,OS X,10_15_7,null,null,fixation,,,,,
,,,,,image-button-response,24,361519,0.0-6.0-1.3,10,1,2023-03-14 19:11:28,27d22b55943edf8b2830e96048e50989,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/16.3 Safari/605.1.15",Macintosh,Safari,16.3,OS X,10_15_7,11319,2,response_pred,Andrena fulva,TRUE,Andrena fulva,it is fuzzy dark orange and it has a smooth shiny dark brown texture,
,,,,,html-keyboard-response,25,362022,0.0-6.0-0.4,10,1,2023-03-14 19:11:28,27d22b55943edf8b2830e96048e50989,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/16.3 Safari/605.1.15",Macintosh,Safari,16.3,OS X,10_15_7,null,null,fixation,,,,,
,,,,,image-button-response,26,374217,0.0-6.0-1.4,10,1,2023-03-14 19:11:28,27d22b55943edf8b2830e96048e50989,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/16.3 Safari/605.1.15",Macintosh,Safari,16.3,OS X,10_15_7,12180,0,response_pred,Andrena bicolor,TRUE,Andrena bicolor,it is fuzzy dark orange and it has a smooth shiny dark brown texture,
